<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.22	00:05:00	1.06538	1.06554	1.06536	1.06553	11	0	41
2024.04.22	00:06:00	1.06554	1.06569	1.06529	1.06569	20	0	40
2024.04.22	00:07:00	1.06570	1.06571	1.06550	1.06559	538	0	100
2024.04.22	00:08:00	1.06558	1.06561	1.06558	1.06561	2	0	100
2024.04.22	00:09:00	1.06561	1.06611	1.06561	1.06592	26	0	43
2024.04.22	00:10:00	1.06591	1.06591	1.06564	1.06575	42	0	17
2024.04.22	00:11:00	1.06574	1.06595	1.06574	1.06587	22	0	14
2024.04.22	00:12:00	1.06591	1.06594	1.06581	1.06581	8	0	14
2024.04.22	00:13:00	1.06581	1.06583	1.06580	1.06583	3	0	23
2024.04.22	00:14:00	1.06585	1.06602	1.06585	1.06600	32	0	21
2024.04.22	00:15:00	1.06600	1.06624	1.06600	1.06611	48	0	17
2024.04.22	00:16:00	1.06617	1.06618	1.06606	1.06606	11	0	16
2024.04.22	00:17:00	1.06606	1.06611	1.06606	1.06607	53	0	19
2024.04.22	00:18:00	1.06608	1.06615	1.06606	1.06615	15	0	20
2024.04.22	00:19:00	1.06616	1.06620	1.06616	1.06616	4	0	27
2024.04.22	00:20:00	1.06620	1.06621	1.06619	1.06621	3	0	26
2024.04.22	00:21:00	1.06621	1.06624	1.06530	1.06585	184	0	23
2024.04.22	00:22:00	1.06594	1.06599	1.06580	1.06599	8	0	26
2024.04.22	00:23:00	1.06603	1.06603	1.06600	1.06600	3	0	26
2024.04.22	00:24:00	1.06604	1.06604	1.06604	1.06604	1	0	25
2024.04.22	00:25:00	1.06604	1.06604	1.06604	1.06604	1	0	26
2024.04.22	00:26:00	1.06604	1.06604	1.06604	1.06604	1	0	26
2024.04.22	00:27:00	1.06604	1.06611	1.06604	1.06610	4	0	13
2024.04.22	00:28:00	1.06605	1.06605	1.06576	1.06582	19	0	15
2024.04.22	00:29:00	1.06582	1.06590	1.06576	1.06590	15	0	18
2024.04.22	00:30:00	1.06590	1.06604	1.06574	1.06574	27	0	15
2024.04.22	00:31:00	1.06573	1.06579	1.06573	1.06576	9	0	39
2024.04.22	00:32:00	1.06575	1.06576	1.06573	1.06576	9	0	37
2024.04.22	00:33:00	1.06576	1.06576	1.06560	1.06560	10	0	25
2024.04.22	00:34:00	1.06560	1.06564	1.06560	1.06563	6	0	36
2024.04.22	00:35:00	1.06563	1.06570	1.06559	1.06563	24	0	32
2024.04.22	00:36:00	1.06571	1.06574	1.06560	1.06571	27	0	24
2024.04.22	00:37:00	1.06574	1.06579	1.06572	1.06579	11	0	27
2024.04.22	00:38:00	1.06579	1.06583	1.06578	1.06580	14	0	34
2024.04.22	00:39:00	1.06581	1.06583	1.06581	1.06582	5	0	37
2024.04.22	00:40:00	1.06584	1.06584	1.06583	1.06583	2	0	43
2024.04.22	00:41:00	1.06580	1.06584	1.06578	1.06584	11	0	32
2024.04.22	00:42:00	1.06584	1.06584	1.06580	1.06581	13	0	35
2024.04.22	00:43:00	1.06583	1.06583	1.06578	1.06579	4	0	33
2024.04.22	00:44:00	1.06580	1.06582	1.06577	1.06581	7	0	30
2024.04.22	00:45:00	1.06581	1.06582	1.06580	1.06582	8	0	35
2024.04.22	00:46:00	1.06580	1.06580	1.06580	1.06580	1	0	35
2024.04.22	00:47:00	1.06577	1.06584	1.06571	1.06578	16	0	22
2024.04.22	00:48:00	1.06574	1.06581	1.06572	1.06578	30	0	27
2024.04.22	00:49:00	1.06577	1.06588	1.06577	1.06587	14	0	36
2024.04.22	00:50:00	1.06582	1.06582	1.06578	1.06582	5	0	36
2024.04.22	00:51:00	1.06578	1.06582	1.06578	1.06582	4	0	35
2024.04.22	00:52:00	1.06582	1.06582	1.06582	1.06582	1	0	43
2024.04.22	00:53:00	1.06582	1.06582	1.06582	1.06582	1	0	43
2024.04.22	00:54:00	1.06582	1.06583	1.06582	1.06583	2	0	41
2024.04.22	00:55:00	1.06582	1.06601	1.06580	1.06601	73	0	14
2024.04.22	00:56:00	1.06584	1.06608	1.06584	1.06603	94	0	16
2024.04.22	00:57:00	1.06604	1.06611	1.06592	1.06608	102	0	18
2024.04.22	00:58:00	1.06608	1.06608	1.06589	1.06595	71	0	17
2024.04.22	00:59:00	1.06601	1.06604	1.06570	1.06575	37	0	15
2024.04.22	01:00:00	1.06556	1.06594	1.06554	1.06567	213	0	10
2024.04.22	01:01:00	1.06565	1.06568	1.06545	1.06559	98	0	10
2024.04.22	01:02:00	1.06559	1.06595	1.06559	1.06594	55	0	10
2024.04.22	01:03:00	1.06594	1.06595	1.06580	1.06581	12	0	10
2024.04.22	01:04:00	1.06580	1.06588	1.06580	1.06588	14	0	10
2024.04.22	01:05:00	1.06588	1.06590	1.06587	1.06588	9	0	10
2024.04.22	01:06:00	1.06588	1.06590	1.06588	1.06590	5	0	10
2024.04.22	01:07:00	1.06591	1.06591	1.06590	1.06590	2	0	10
2024.04.22	01:08:00	1.06589	1.06593	1.06588	1.06593	12	0	10
