<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	01:00:00	18033.1	18033.2	18029.3	18029.3	33	0	18
2024.04.15	01:01:00	18029.5	18057.9	18024.2	18055.0	546	0	18
2024.04.15	01:02:00	18054.3	18059.7	18037.8	18041.9	430	0	18
2024.04.15	01:03:00	18042.0	18043.5	18028.1	18036.5	394	0	18
2024.04.15	01:04:00	18037.1	18043.8	18027.5	18031.0	275	0	18
2024.04.15	01:05:00	18030.8	18034.0	18024.8	18027.1	291	0	18
2024.04.15	01:06:00	18027.2	18028.6	18018.1	18021.8	274	0	18
2024.04.15	01:07:00	18021.2	18031.6	18015.0	18030.3	252	0	20
2024.04.15	01:08:00	18031.3	18041.3	18028.1	18038.8	236	0	20
2024.04.15	01:09:00	18038.0	18041.9	18035.5	18039.8	198	0	18
2024.04.15	01:10:00	18039.6	18057.4	18039.6	18052.8	333	0	18
2024.04.15	01:11:00	18053.8	18054.7	18049.6	18052.3	192	0	18
2024.04.15	01:12:00	18053.5	18056.8	18050.6	18051.8	226	0	18
2024.04.15	01:13:00	18051.6	18055.5	18049.3	18049.8	148	0	18
2024.04.15	01:14:00	18050.7	18050.7	18043.1	18043.5	158	0	18
2024.04.15	01:15:00	18043.3	18043.4	18032.4	18034.9	197	0	18
2024.04.15	01:16:00	18034.8	18038.0	18033.7	18036.0	135	0	18
2024.04.15	01:17:00	18036.1	18044.1	18035.1	18041.8	133	0	18
2024.04.15	01:18:00	18041.5	18042.8	18035.6	18037.0	128	0	18
2024.04.15	01:19:00	18037.6	18040.4	18036.3	18036.8	97	0	18
2024.04.15	01:20:00	18036.5	18045.9	18036.5	18045.3	186	0	18
2024.04.15	01:21:00	18044.9	18051.3	18041.1	18047.0	168	0	18
2024.04.15	01:22:00	18046.8	18050.1	18044.3	18049.1	111	0	20
2024.04.15	01:23:00	18049.3	18050.8	18046.0	18046.5	109	0	20
2024.04.15	01:24:00	18046.6	18054.6	18046.6	18050.6	127	0	18
2024.04.15	01:25:00	18051.0	18057.1	18051.0	18052.5	140	0	18
2024.04.15	01:26:00	18051.9	18056.4	18050.9	18055.5	98	0	18
2024.04.15	01:27:00	18056.1	18057.7	18052.6	18055.1	123	0	18
2024.04.15	01:28:00	18054.6	18056.8	18052.9	18056.4	96	0	18
2024.04.15	01:29:00	18056.1	18056.8	18053.1	18053.9	87	0	18
2024.04.15	01:30:00	18053.5	18066.1	18052.3	18064.0	217	0	18
2024.04.15	01:31:00	18063.9	18064.6	18058.0	18062.9	118	0	18
2024.04.15	01:32:00	18062.8	18063.8	18058.2	18058.2	90	0	18
2024.04.15	01:33:00	18058.0	18060.1	18057.8	18058.5	87	0	18
2024.04.15	01:34:00	18058.6	18063.1	18058.1	18061.5	66	0	18
2024.04.15	01:35:00	18061.4	18061.5	18057.4	18059.5	95	0	18
2024.04.15	01:36:00	18060.5	18061.8	18059.9	18060.0	46	0	18
2024.04.15	01:37:00	18061.0	18067.9	18059.7	18066.3	100	0	18
2024.04.15	01:38:00	18065.8	18071.5	18064.5	18068.8	169	0	18
2024.04.15	01:39:00	18068.6	18068.9	18064.1	18066.5	101	0	18
2024.04.15	01:40:00	18066.6	18070.1	18065.5	18066.5	101	0	18
2024.04.15	01:41:00	18066.4	18070.0	18064.6	18069.0	84	0	20
2024.04.15	01:42:00	18068.9	18069.6	18066.6	18068.6	74	0	18
2024.04.15	01:43:00	18068.0	18075.5	18068.0	18074.4	96	0	18
2024.04.15	01:44:00	18074.8	18079.5	18074.4	18074.6	179	0	18
2024.04.15	01:45:00	18075.0	18086.8	18075.0	18080.9	186	0	18
2024.04.15	01:46:00	18081.0	18081.6	18077.6	18078.8	116	0	18
2024.04.15	01:47:00	18079.3	18079.6	18076.9	18078.1	68	0	20
2024.04.15	01:48:00	18077.8	18079.4	18075.4	18078.5	80	0	18
2024.04.15	01:49:00	18079.0	18080.0	18074.9	18079.8	72	0	18
2024.04.15	01:50:00	18079.6	18084.8	18078.6	18083.8	128	0	18
2024.04.15	01:51:00	18083.6	18084.1	18077.3	18078.3	88	0	18
2024.04.15	01:52:00	18078.5	18078.5	18064.6	18065.8	193	0	18
2024.04.15	01:53:00	18065.9	18067.1	18064.1	18067.1	81	0	18
2024.04.15	01:54:00	18067.3	18068.1	18064.1	18065.8	75	0	18
2024.04.15	01:55:00	18066.0	18068.3	18061.7	18062.5	79	0	18
2024.04.15	01:56:00	18063.1	18073.9	18063.0	18072.6	142	0	18
2024.04.15	01:57:00	18072.5	18073.4	18068.8	18072.0	81	0	20
2024.04.15	01:58:00	18072.6	18073.3	18069.0	18069.9	72	0	18
2024.04.15	01:59:00	18069.8	18071.9	18064.0	18066.0	56	0	18
2024.04.15	02:00:00	18066.3	18070.9	18064.9	18066.9	124	0	18
2024.04.15	02:01:00	18066.8	18072.0	18066.5	18071.5	111	0	18
2024.04.15	02:02:00	18071.6	18073.6	18071.3	18071.8	53	0	23
2024.04.15	02:03:00	18072.4	18073.4	18068.3	18072.8	64	0	18
2024.04.15	02:04:00	18072.6	18074.0	18069.8	18072.5	62	0	18
2024.04.15	02:05:00	18072.6	18075.9	18072.5	18075.5	70	0	20
2024.04.15	02:06:00	18075.9	18080.6	18075.8	18080.6	102	0	18
2024.04.15	02:07:00	18080.5	18081.0	18078.3	18079.8	79	0	18
2024.04.15	02:08:00	18079.4	18082.6	18077.9	18080.5	79	0	20
2024.04.15	02:09:00	18080.0	18081.4	18077.1	18077.3	58	0	20
2024.04.15	02:10:00	18077.9	18079.1	18075.8	18075.8	40	0	18
2024.04.15	02:11:00	18076.0	18076.3	18068.3	18072.3	105	0	18
2024.04.15	02:12:00	18072.2	18075.5	18071.3	18071.3	67	0	18
2024.04.15	02:13:00	18070.3	18076.4	18070.3	18076.0	65	0	18
2024.04.15	02:14:00	18076.0	18076.8	18070.5	18071.5	87	0	18
2024.04.15	02:15:00	18071.4	18073.9	18071.4	18072.5	66	0	18
2024.04.15	02:16:00	18072.9	18076.8	18070.5	18075.5	69	0	18
2024.04.15	02:17:00	18075.1	18079.5	18074.9	18079.5	74	0	20
2024.04.15	02:18:00	18078.9	18079.7	18077.3	18077.3	66	0	18
2024.04.15	02:19:00	18077.4	18078.8	18077.3	18078.3	24	0	20
2024.04.15	02:20:00	18078.3	18078.9	18077.3	18078.8	34	0	20
2024.04.15	02:21:00	18077.5	18078.5	18076.8	18077.1	36	0	18
2024.04.15	02:22:00	18077.5	18079.5	18076.6	18079.5	42	0	18
2024.04.15	02:23:00	18079.6	18083.7	18079.3	18083.4	48	0	20
2024.04.15	02:24:00	18083.5	18084.5	18079.5	18079.5	58	0	18
2024.04.15	02:25:00	18079.6	18080.9	18079.5	18080.3	52	0	18
2024.04.15	02:26:00	18080.1	18080.5	18077.8	18079.4	55	0	18
2024.04.15	02:27:00	18079.3	18080.3	18077.5	18080.1	39	0	18
2024.04.15	02:28:00	18080.0	18080.0	18077.8	18079.2	31	0	18
2024.04.15	02:29:00	18078.1	18078.6	18074.7	18075.8	66	0	18
2024.04.15	02:30:00	18076.5	18081.1	18076.5	18080.3	75	0	18
2024.04.15	02:31:00	18080.4	18080.4	18078.6	18079.4	47	0	20
2024.04.15	02:32:00	18080.0	18084.5	18080.0	18083.0	65	0	18
2024.04.15	02:33:00	18082.8	18086.0	18082.8	18084.0	65	0	18
2024.04.15	02:34:00	18083.9	18092.6	18083.6	18087.5	146	0	18
2024.04.15	02:35:00	18087.4	18087.9	18085.7	18087.8	71	0	20
2024.04.15	02:36:00	18087.6	18095.1	18087.1	18093.0	142	0	18
2024.04.15	02:37:00	18093.1	18097.6	18090.4	18092.4	134	0	18
2024.04.15	02:38:00	18093.0	18093.1	18088.6	18090.3	116	0	18
2024.04.15	02:39:00	18090.1	18090.8	18085.8	18088.6	75	0	18
2024.04.15	02:40:00	18088.3	18088.5	18086.3	18087.3	67	0	18
2024.04.15	02:41:00	18087.3	18087.4	18084.7	18085.6	71	0	18
2024.04.15	02:42:00	18085.5	18086.9	18082.9	18084.6	79	0	18
2024.04.15	02:43:00	18085.1	18087.1	18084.8	18086.6	52	0	18
2024.04.15	02:44:00	18086.7	18090.0	18086.6	18089.1	69	0	18
2024.04.15	02:45:00	18089.6	18092.2	18088.2	18089.5	110	0	18
2024.04.15	02:46:00	18089.6	18090.8	18086.2	18087.8	102	0	18
2024.04.15	02:47:00	18088.1	18095.8	18088.1	18095.8	65	0	18
2024.04.15	02:48:00	18095.9	18098.9	18094.5	18095.6	111	0	18
2024.04.15	02:49:00	18095.5	18095.6	18092.5	18092.8	67	0	18
2024.04.15	02:50:00	18091.8	18092.6	18084.8	18086.8	122	0	18
2024.04.15	02:51:00	18087.1	18088.8	18085.6	18086.6	45	0	23
2024.04.15	02:52:00	18086.8	18087.1	18080.5	18080.5	79	0	18
2024.04.15	02:53:00	18080.1	18084.8	18080.0	18083.3	108	0	18
2024.04.15	02:54:00	18083.5	18083.5	18075.6	18077.0	86	0	18
2024.04.15	02:55:00	18077.1	18077.4	18072.8	18076.5	127	0	18
